t;x;y;dx;dy;dpsi;dx_dot;dy_dot;dpsi_dot;v;acc;s
1.590007972; 2.467970371246338; 1.9603930711746216; 0.15; -0.1722243239239949; 0.10510707233683791; 0.0; 0.0; 0.0; 0.00022574169466435062; 0.36189136981273506; 0.0
1.659881881; 2.467977285385132; 1.9604105949401855; 0.1500000301529332; -0.17251832083594512; 0.10661298349681443; 0.0; -0.002362124866049341; 0.0218729969716437; 0.000252059997111934; 0.30474402637724624; 0.0
1.719871859; 2.4679555892944336; 1.96034574508667; 0.15000087091036526; -0.172741277720852; 0.10164850013538843; -2.0727127554780775e-07; -0.003835916263009021; -0.09300792697725291; 0.000798409665274774; 0.30691710068583805; 0.0
1.779927152; 2.467977523803711; 1.9603947401046753; 0.15000043248932188; -0.17693316146266105; 0.08694046290703301; -6.313402382192252e-06; -0.050363623522472575; -0.37297727712246753; 0.0008576034971691155; 0.30688570872104715; 0.0
1.85994641; 2.4682226181030273; 1.9603322744369507; 0.15000257353418045; -0.17839953477128845; 0.0725447733790012; -5.920911791370663e-06; -0.04128053875409139; -0.4365945565463155; 0.002281938012192542; 0.30352350448161713; 0.0
1.919910188; 2.4682130813598633; 1.9589308500289917; 0.15002323318088903; -0.18242290437271405; 0.07454372618420202; -2.1960250441758335e-05; -0.07029514262749839; -0.14788344345971055; 0.015318056341004326; 0.3069237375572685; -0.7252938623977492
1.979925164; 2.469893217086792; 1.9545722007751465; 0.15007477068149946; -0.1836143752211121; 0.07524721628436892; -0.00018044990651501966; -0.0534374314613066; -0.04933808645986097; 0.05395442305709994; 0.3066972156538408; -0.6997163133428292
2.039913162; 2.4696502685546875; 1.9464962482452393; 0.15011306475351133; -0.18372335596618108; 0.07630164157640153; -0.0006432799082732292; -0.03127394705111092; 0.0032215642769838626; 0.10384643557987525; 0.30587991215463406; -0.6740190083855198
2.099915006; 2.4702582359313965; 1.9357670545578003; 0.15012017370060496; -0.18746060684461924; 0.07923656609444829; -0.0011821974764622623; -0.0613125705041295; 0.07186131217548418; 0.15035496728753928; 0.3048461988545472; -0.6998369079141774
2.159926134; 2.473318338394165; 1.9231289625167847; 0.15011135726908081; -0.18898246143138972; 0.06752790178752834; -0.0015384248174811896; -0.052269221520352696; -0.2494438844185642; 0.19134495419176203; 0.3041379854837757; -0.7599844238177829
2.219933132; 2.4779224395751953; 1.9076334238052368; 0.15011908213097896; -0.19294688057543197; 0.07053333429826239; -0.0016762200187004043; -0.07577203186914183; -0.039231213899588474; 0.23957708494073554; 0.3038867624664998; -0.7604387694832424
2.279927969; 2.4816763401031494; 1.8927395343780518; 0.15005647839783012; -0.18944295087041804; 0.08561419213953012; -0.001810254962898281; -0.0015335295242258906; 0.34566383777244214; 0.24973124482697684; 0.3035156288103241; -0.6162110309135405
2.339908222; 2.48647403717041; 1.875597596168518; 0.15006435404120577; -0.18351255377981324; 0.09613780576483225; -0.0014330415195213662; 0.06862369597774887; 0.407959016248106; 0.278803005223857; 0.30426424810542513; -0.5214603219530848
2.39988164; 2.4929163455963135; 1.8575000762939453; 0.15006298763938644; -0.1770844291244749; 0.10054207826899345; -0.0012767090050734451; 0.11380934160704509; 0.2882437195765075; 0.3044589355444826; 0.3045662085046617; -0.4787843056561152
2.459907911; 2.500610113143921; 1.8378700017929077; 0.15006868561643852; -0.17016074163352896; 0.10114535110447402; -0.0011779697057636214; 0.14486798660847466; 0.14304324355543377; 0.3333848659055523; 0.3047525431746685; -0.4534335587182298
2.519920007; 2.507974863052368; 1.81758451461792; 0.1500497651590534; -0.15826799397148944; 0.11717479476668131; -0.001163448026899244; 0.22042491954124374; 0.4492491877046657; 0.3496198814089031; 0.30474988046823465; -0.28982401230255495
2.589903838; 2.517233371734619; 1.7927472591400146; 0.15004577655654566; -0.1484833237957886; 0.147923628979245; -0.0009670099022686843; 0.22170632063735712; 0.8561273376917833; 0.36765885186060726; 0.3029379585042825; -0.15988321286834115
2.649879057; 2.5255496501922607; 1.7706607580184937; 0.15004156083774028; -0.13744332404881746; 0.17246674246527705; -0.0008785288313265542; 0.25308683241547414; 0.9728415141716861; 0.3836684641605073; 0.3052967169641748; -0.05759736080923995
2.709899659; 2.5364389419555664; 1.7467782497406006; 0.15006971027743443; -0.12538386428701276; 0.19448769769864735; -0.0007977194111833425; 0.2821181539650638; 0.9637373617788807; 0.4168697499373534; 0.3054918516603978; 0.02763809054097895
2.7699147809999998; 2.5433754920959473; 1.7221144437789917; 0.15003471151167855; -0.11554891060855121; 0.22311618249791554; -0.0009557138731328511; 0.27205875973434274; 1.1189524816792258; 0.42311315427200263; 0.30512325944592456; 0.10574430624293288
2.829935042; 2.551577568054199; 1.6963814496994019; 0.15003891317081247; -0.09700405740523807; 0.23676759651806412; -0.0007918316587078818; 0.3681829604471262; 0.8266321762857307; 0.43980534906255647; 0.3054466335736957; 0.2212569378119396
2.889887716; 2.5579965114593506; 1.6701421737670898; 0.150023886996472; -0.08599638568827862; 0.24732627344939773; -0.0007298339335251297; 0.3333418337223071; 0.6223368731650849; 0.44651880966505514; 0.30555840035238796; 0.21675257835151882
2.949899686; 2.5635485649108887; 1.6430163383483887; 0.15002294868249233; -0.07039810399284903; 0.25197195486826096; -0.0005857483662468115; 0.3675073184638109; 0.38789355749534704; 0.4557847733571922; 0.3058183956902152; 0.27510571371771037
3.009893525; 2.568997621536255; 1.6149204969406128; 0.15002957179856707; -0.060563963219160334; 0.2553578632944599; -0.0004974935474863595; 0.31889304145808883; 0.25355580677647704; 0.4689733272277477; 0.3060065840906476; 0.2635259725026825
